TransactionID,Date,Stock,Transaction Type,Quantity,Buy Price
T001,10-Jan-23,TCS.NS,Buy,15,3250
T002,18-Jan-23,INFY.NS,Buy,20,1460
T003,25-Jan-23,RELIANCE.NS,Buy,12,2380
T004,03-Feb-23,HDFCBANK.NS,Buy,18,1625
T005,15-Feb-23,ICICIBANK.NS,Buy,20,865
T006,28-Feb-23,BHARTIARTL.NS,Buy,25,760
T007,10-Mar-23,ITC.NS,Buy,40,385
T008,20-Mar-23,TATAMOTORS.NS,Buy,30,445
T009,05-Apr-23,SUNPHARMA.NS,Buy,18,980
T010,18-Apr-23,BAJFINANCE.NS,Buy,8,5900
T011,15-May-23,TCS.NS,Buy,10,3345
T012,25-May-23,INFY.NS,Buy,15,1385
T013,08-Jun-23,RELIANCE.NS,Buy,10,2520
T014,22-Jun-23,HDFCBANK.NS,Buy,15,1675
T015,10-Jul-23,ICICIBANK.NS,Buy,15,945
T016,26-Jul-23,BHARTIARTL.NS,Buy,20,885
T017,08-Aug-23,ITC.NS,Buy,35,450
T018,24-Aug-23,TATAMOTORS.NS,Buy,20,615
T019,12-Sep-23,SUNPHARMA.NS,Buy,12,1130
T020,29-Sep-23,BAJFINANCE.NS,Buy,6,7650
T021,10-Jan-24,TCS.NS,Buy,8,3750
T022,24-Jan-24,INFY.NS,Buy,10,1590
T023,09-Feb-24,RELIANCE.NS,Buy,8,2860
T024,28-Feb-24,HDFCBANK.NS,Buy,10,1450
T025,14-Mar-24,ICICIBANK.NS,Buy,12,1045
T026,02-Apr-24,BHARTIARTL.NS,Buy,15,1220
T027,22-Apr-24,ITC.NS,Buy,25,425
T028,10-May-24,TATAMOTORS.NS,Buy,15,1015
T029,27-May-24,SUNPHARMA.NS,Buy,10,1520
T030,18-Jun-24,BAJFINANCE.NS,Buy,5,6950
