Stock,Company,Sector,Industry
TCS.NS,Tata Consultancy Services,Information Technology,IT Services
INFY.NS,Infosys,Information Technology,IT Services
RELIANCE.NS,Reliance Industries,Energy,Oil & Gas
HDFCBANK.NS,HDFC Bank,Financial Services,Private Bank
ICICIBANK.NS,ICICI Bank,Financial Services,Private Bank
BHARTIARTL.NS,Bharti Airtel,Telecommunication,Telecom Services
ITC.NS,ITC Limited,FMCG,Consumer Goods
TATAMOTORS.NS,Tata Motors,Automobile,Auto Manufacturer
SUNPHARMA.NS,Sun Pharmaceutical,Healthcare,Pharmaceuticals
BAJFINANCE.NS,Bajaj Finance,Financial Services,NBFC
